Value,Time,Label,TrackID,ID,Embryo.Id,Treatment,TE.ICM,Identity,SpotID,UniqueID,Mitosis,MtUniqueID,X,Y,Z,TimeM,Cell_number,Stage
1.1091,1,Cavity;ICM,1000000000,8,120719_p1,Control,ICM,ICM,120719_p1_8,120719_p11000000000,Parent,120719_p11000000000Parent,71.8181,66.1497,5.8598,0,57,32_64
1.33346,1,Cavity;ICM,1000000001,32,120719_p1,Control,ICM,ICM,120719_p1_32,120719_p11000000001,Parent,120719_p11000000001Parent,65.9376,58.2571,8.36981,0,57,32_64
2.30898,1,TE_Polar,1000000002,56,120719_p1,Control,TE,Polar TE,120719_p1_56,120719_p11000000002,Parent,120719_p11000000002Parent,67.3901,81.6073,1.82713,0,57,32_64
1.14626,1,Deep;ICM,1000000003,80,120719_p1,Control,ICM,ICM,120719_p1_80,120719_p11000000003,Parent,120719_p11000000003Parent,56.5966,84.7958,14.4362,0,57,32_64
0.978499,1,Deep;ICM,1000000004,104,120719_p1,Control,ICM,ICM,120719_p1_104,120719_p11000000004,Parent,120719_p11000000004Parent,55.7663,72.0343,5.74646,0,57,32_64
1.08076,1,TE_Polar,1000000005,128,120719_p1,Control,TE,Polar TE,120719_p1_128,120719_p11000000005,Parent,120719_p11000000005Parent,39.4377,80.1104,17.5502,0,57,32_64
1.57896,1,Deep;ICM,1000000006,152,120719_p1,Control,ICM,ICM,120719_p1_152,120719_p11000000006,Parent,120719_p11000000006Parent,47.4636,74.8146,17.4481,0,57,32_64
1.09999,1,Cavity;ICM,1000000007,176,120719_p1,Control,ICM,ICM,120719_p1_176,120719_p11000000007,Parent,120719_p11000000007Parent,62.1573,49.9544,21.0279,0,57,32_64
1.8423,1,Deep;ICM,1000000008,200,120719_p1,Control,ICM,ICM,120719_p1_200,120719_p11000000008,Parent,120719_p11000000008Parent,51.8917,64.8344,19.0544,0,57,32_64
1.24457,1,TE_Polar,1000000009,218,120719_p1,Control,TE,Polar TE,120719_p1_218,120719_p11000000009,Parent,120719_p11000000009Parent,54.0314,57.7607,11,0,57,32_64
1.37048,1,TE_Polar,1000000010,242,120719_p1,Control,TE,Polar TE,120719_p1_242,120719_p11000000010,Parent,120719_p11000000010Parent,42.482,48.2139,22.5234,0,57,32_64
0.868809,1,Cavity;ICM,1000000011,266,120719_p1,Control,ICM,ICM,120719_p1_266,120719_p11000000011,Parent,120719_p11000000011Parent,48.8474,89.1,32.4097,0,57,32_64
1.46949,1,Deep;ICM,1000000012,290,120719_p1,Control,ICM,ICM,120719_p1_290,120719_p11000000012,Parent,120719_p11000000012Parent,41.0982,77.2741,32.0452,0,57,32_64
0.958748,1,TE_Polar,1000000013,314,120719_p1,Control,TE,Polar TE,120719_p1_314,120719_p11000000013,Parent,120719_p11000000013Parent,38.6074,60.8257,27.7578,0,57,32_64
1.24245,1,Cavity;ICM,1000000014,338,120719_p1,Control,ICM,ICM,120719_p1_338,120719_p11000000014,Parent,120719_p11000000014Parent,55.9222,61.8549,36,0,57,32_64
1.5049,1,Cavity;ICM,1000000015,362,120719_p1,Control,ICM,ICM,120719_p1_362,120719_p11000000015,Parent,120719_p11000000015Parent,56.3198,74.1259,28.2131,0,57,32_64
1.08411,1,TE_Mural,1000000016,410,120719_p1,Control,TE,Mural TE,120719_p1_410,120719_p11000000016,Parent,120719_p11000000016Parent,57.4268,106.63,27.754,0,57,32_64
1.49451,1,TE_Mural,1000000017,458,120719_p1,Control,TE,Mural TE,120719_p1_458,120719_p11000000017,Parent,120719_p11000000017Parent,84.8257,84.1416,1.22528,0,57,32_64
1.14693,1,TE_Mural,1000000018,506,120719_p1,Control,TE,Mural TE,120719_p1_506,120719_p11000000018,Parent,120719_p11000000018Parent,90.4176,49.9544,7.19189,0,57,32_64
0.96278,1,TE_Mural,1000000019,530,120719_p1,Control,TE,Mural TE,120719_p1_530,120719_p11000000019,Parent,120719_p11000000019Parent,77.6106,42.7588,11.3004,0,57,32_64
0.890129,1,TE_Mural,1000000020,554,120719_p1,Control,TE,Mural TE,120719_p1_554,120719_p11000000020,Parent,120719_p11000000020Parent,66.4568,30.0887,33,0,57,32_64
1.2853,1,TE_Polar,1000000021,578,120719_p1,Control,TE,Polar TE,120719_p1_578,120719_p11000000021,Parent,120719_p11000000021Parent,46.6334,97.1676,49.529,0,57,32_64
1.09858,1,TE_Polar,1000000022,602,120719_p1,Control,TE,Polar TE,120719_p1_602,120719_p11000000022,Parent,120719_p11000000022Parent,38.6074,60.0717,43.2569,0,57,32_64
1.48778,1,TE_Polar,1000000023,626,120719_p1,Control,TE,Polar TE,120719_p1_626,120719_p11000000023,Parent,120719_p11000000023Parent,32.7956,72.1098,46.4415,0,57,32_64
0.915096,1,Deep;ICM,1000000024,649,120719_p1,Control,ICM,ICM,120719_p1_649,120719_p11000000024,Parent,120719_p11000000024Parent,49.8872,47.7404,39.916,0,57,32_64
1.21475,1,Deep;ICM,1000000025,673,120719_p1,Control,ICM,ICM,120719_p1_673,120719_p11000000025,Parent,120719_p11000000025Parent,47.1869,52.4907,26.0608,0,57,32_64
1.08331,1,Deep;ICM,1000000026,697,120719_p1,Control,ICM,ICM,120719_p1_697,120719_p11000000026,Parent,120719_p11000000026Parent,45.8031,59.9544,35.1123,0,57,32_64
1.0487,1,Deep;ICM,1000000027,721,120719_p1,Control,ICM,ICM,120719_p1_721,120719_p11000000027,Parent,120719_p11000000027Parent,43.5891,81.5689,42.7947,0,57,32_64
1.20148,1,Cavity;ICM,1000000028,745,120719_p1,Control,ICM,ICM,120719_p1_745,120719_p11000000028,Parent,120719_p11000000028Parent,45.2496,52.6451,54.5554,0,57,32_64
1.02145,1,TE_Polar,1000000029,769,120719_p1,Control,TE,Polar TE,120719_p1_769,120719_p11000000029,Parent,120719_p11000000029Parent,51.3382,41.3555,54.7427,0,57,32_64
0.628663,1,TE_Mural,1000000030,841,120719_p1,Control,TE,Mural TE,120719_p1_841,120719_p11000000030,Parent,120719_p11000000030Parent,114.123,66.6272,7,0,57,32_64
0.671627,1,TE_Mural,1000000031,865,120719_p1,Control,TE,Mural TE,120719_p1_865,120719_p11000000031,Parent,120719_p11000000031Parent,121.08,91.7446,16.9675,0,57,32_64
0.735333,1,TE_Mural,1000000032,889,120719_p1,Control,TE,Mural TE,120719_p1_889,120719_p11000000032,Parent,120719_p11000000032Parent,133.535,90.6224,44.2861,0,57,32_64
0.652924,1,TE_Mural,1000000033,973,120719_p1,Control,TE,Mural TE,120719_p1_973,120719_p11000000033,Parent,120719_p11000000033Parent,131.044,56.6945,33.7801,0,57,32_64
0.61029,1,TE_Mural,1000000034,997,120719_p1,Control,TE,Mural TE,120719_p1_997,120719_p11000000034,Parent,120719_p11000000034Parent,99.1019,28.9343,29,0,57,32_64
1.09856,2,Cavity;ICM,1000000000,1022,120719_p1,Control,ICM,ICM,120719_p1_1022,120719_p11000000000,Parent,120719_p11000000000Parent,70.9879,71.2848,5.38803,5,57,32_64
