Value,Time,Label,TrackID,ID,Embryo.Id,TE.ICM,Identity,SpotID,UniqueID,Mitosis,MtUniqueID,X,Y,Z,TimeM,Cell_number,Stage
2.16622,1,ICM;PrE,1000000000,0,082119_p1,ICM,PrE,082119_p1_0,082119_p11000000000,Parent,082119_p11000000000Parent,62.3241,80.6344,15,0,56,32_64
1.52457,1,EPI;ICM,1000000001,24,082119_p1,ICM,EPI,082119_p1_24,082119_p11000000001,Parent,082119_p11000000001Parent,64.8989,64.933,9.44193,0,56,32_64
1.45477,1,EPI;ICM,1000000002,48,082119_p1,ICM,EPI,082119_p1_48,082119_p11000000002,Parent,082119_p11000000002Parent,51.6147,82.3841,16.7645,0,56,32_64
1.61711,1,ICM;PrE,1000000003,72,082119_p1,ICM,PrE,082119_p1_72,082119_p11000000003,Parent,082119_p11000000003Parent,69.9267,60.471,19.8982,0,56,32_64
1.41057,1,EPI;ICM,1000000004,96,082119_p1,ICM,EPI,082119_p1_96,082119_p11000000004,Parent,082119_p11000000004Parent,53.552,59.3254,13.63,0,56,32_64
1.93301,1,DP;ICM,1000000005,120,082119_p1,ICM,DP,082119_p1_120,082119_p11000000005,Parent,082119_p11000000005Parent,55.766,71.7931,8.42639,0,56,32_64
1.70759,1,ICM,1000000006,144,082119_p1,ICM,ICM,082119_p1_144,082119_p11000000006,Parent,082119_p11000000006Parent,44.707,75.4158,17.1725,0,56,32_64
1.72242,1,ICM;PrE,1000000007,168,082119_p1,ICM,PrE,082119_p1_168,082119_p11000000007,Parent,082119_p11000000007Parent,59.9173,69.7639,18.5161,0,56,32_64
1.50051,1,DP;ICM,1000000008,192,082119_p1,ICM,DP,082119_p1_192,082119_p11000000008,Parent,082119_p11000000008Parent,40.2295,68.2202,24.2139,0,56,32_64
1.39506,1,DP;ICM,1000000009,216,082119_p1,ICM,DP,082119_p1_216,082119_p11000000009,Parent,082119_p11000000009Parent,54.9357,50.173,23.6263,0,56,32_64
1.56585,1,ICM;PrE,1000000010,240,082119_p1,ICM,PrE,082119_p1_240,082119_p11000000010,Parent,082119_p11000000010Parent,53.2377,70.3751,27,0,56,32_64
1.35132,1,EPI;ICM,1000000011,264,082119_p1,ICM,EPI,082119_p1_264,082119_p11000000011,Parent,082119_p11000000011Parent,49.6353,59.9175,27.8146,0,56,32_64
