Embryo.Id,Stage,ICM,Identity.km,value,Cell_number
110519_conf_1_1,32_64,18,TE,20,38
110519_conf_1_1,32_64,18,PrE,0,38
110519_conf_1_1,32_64,18,DN,0,38
110519_conf_1_1,32_64,18,DP,8,38
110519_conf_1_1,32_64,18,EPI,10,38
110519_conf_1_2,32_64,30,TE,32,62
110519_conf_1_2,32_64,30,DN,0,62
110519_conf_1_2,32_64,30,DP,9,62
110519_conf_1_2,32_64,30,EPI,16,62
110519_conf_1_2,32_64,30,PrE,5,62
110519_inc_1_1,32_64,16,TE,17,33
110519_inc_1_1,32_64,16,DN,0,33
110519_inc_1_1,32_64,16,DP,8,33
110519_inc_1_1,32_64,16,EPI,7,33
110519_inc_1_1,32_64,16,PrE,1,33
110519_inc_1_2,32_64,19,DN,0,39
110519_inc_1_2,32_64,19,DP,1,39
110519_inc_1_2,32_64,19,EPI,13,39
110519_inc_1_2,32_64,19,TE,20,39
110519_inc_1_2,32_64,19,PrE,5,39
110519_inc_2_1,32_64,17,PrE,0,43
110519_inc_2_1,32_64,17,DN,2,43
110519_inc_2_1,32_64,17,TE,26,43
110519_inc_2_1,32_64,17,DP,1,43
110519_inc_2_1,32_64,17,EPI,14,43
110519_inc_2_2,32_64,25,TE,30,55
110519_inc_2_2,32_64,25,DN,1,55
110519_inc_2_2,32_64,25,EPI,15,55
110519_inc_2_2,32_64,25,DP,2,55
110519_inc_2_2,32_64,25,PrE,7,55
110519_inc_2_3,32_64,27,TE,36,63
110519_inc_2_3,32_64,27,EPI,12,63
110519_inc_2_3,32_64,27,DN,2,63
110519_inc_2_3,32_64,27,DP,2,63
110519_inc_2_3,32_64,27,PrE,11,63
110519_p1,<32,13,DN,0,31
110519_p1,<32,13,TE,18,31
110519_p1,<32,13,DP,0,31
110519_p1,<32,13,EPI,2,31
110519_p1,<32,13,PrE,11,31
110519_p10,32_64,14,DN,0,32
110519_p10,32_64,14,PrE,3,32
110519_p10,32_64,14,DP,8,32
110519_p10,32_64,14,TE,18,32
110519_p10,32_64,14,EPI,3,32
110519_p11,32_64,15,TE,17,32
110519_p11,32_64,15,DN,0,32
110519_p11,32_64,15,DP,15,32
110519_p11,32_64,15,PrE,0,32
110519_p11,32_64,15,EPI,0,32
110519_p12,32_64,25,TE,30,55
110519_p12,32_64,25,DP,5,55
110519_p12,32_64,25,EPI,3,55
110519_p12,32_64,25,DN,1,55
110519_p12,32_64,25,PrE,16,55
110519_p2,32_64,27,TE,31,58
110519_p2,32_64,27,DP,0,58
110519_p2,32_64,27,DN,2,58
110519_p2,32_64,27,EPI,1,58
110519_p2,32_64,27,PrE,24,58
110519_p3,32_64,13,DN,1,39
110519_p3,32_64,13,DP,12,39
110519_p3,32_64,13,PrE,0,39
110519_p3,32_64,13,EPI,0,39
110519_p3,32_64,13,TE,26,39
110519_p4,32_64,17,TE,22,39
110519_p4,32_64,17,PrE,5,39
110519_p4,32_64,17,DN,0,39
110519_p4,32_64,17,DP,9,39
110519_p4,32_64,17,EPI,3,39
110519_p5,32_64,12,TE,25,37
110519_p5,32_64,12,DN,1,37
110519_p5,32_64,12,DP,6,37
110519_p5,32_64,12,EPI,1,37
110519_p5,32_64,12,PrE,4,37
110519_p6,32_64,18,TE,17,35
110519_p6,32_64,18,DN,0,35
110519_p6,32_64,18,DP,17,35
110519_p6,32_64,18,EPI,0,35
110519_p6,32_64,18,PrE,1,35
110519_p8,32_64,22,DN,0,46
110519_p8,32_64,22,DP,9,46
110519_p8,32_64,22,EPI,9,46
110519_p8,32_64,22,TE,24,46
110519_p8,32_64,22,PrE,4,46
